"Kod";"Nazwa";"przeciętna liczba osób na 1 izbę;2002;[-]";"przeciętna liczba osób na 1 izbę;2003;[-]";"przeciętna liczba osób na 1 izbę;2004;[-]";"przeciętna liczba osób na 1 izbę;2005;[-]";"przeciętna liczba osób na 1 izbę;2006;[-]";"przeciętna liczba osób na 1 izbę;2007;[-]";"przeciętna liczba osób na 1 izbę;2008;[-]";"przeciętna liczba osób na 1 izbę;2009;[-]";"przeciętna liczba osób na 1 izbę;2010;[-]";"przeciętna liczba osób na 1 izbę;2011;[-]";"przeciętna liczba osób na 1 izbę;2012;[-]";"przeciętna liczba osób na 1 izbę;2013;[-]";"przeciętna liczba osób na 1 izbę;2014;[-]";"przeciętna liczba osób na 1 izbę;2015;[-]";"przeciętna liczba osób na 1 izbę;2016;[-]";"przeciętna liczba osób na 1 izbę;2017;[-]";"przeciętna liczba osób na 1 izbę;2018;[-]";"przeciętna liczba osób na 1 izbę;2019;[-]";"przeciętna liczba osób na 1 izbę;2020;[-]";"przeciętna liczba osób na 1 izbę;2021;[-]";"przeciętna liczba osób na 1 izbę;2022;[-]";
0201062;"Warta Bolesławiecka (2)";;0,78;0,78;0,78;0,79;0,80;0,79;0,79;0,75;0,75;0,74;0,74;0,73;0,73;0,73;0,73;0,72;0,71;0,60;0,59;0,58;
0202000;"Powiat dzierżoniowski";;0,82;0,82;0,81;0,80;0,80;0,79;0,78;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,74;0,73;0,72;0,68;0,67;0,66;
0202011;"Bielawa (1)";;0,82;0,81;0,81;0,80;0,79;0,79;0,78;0,79;0,79;0,78;0,77;0,77;0,76;0,75;0,74;0,74;0,73;0,68;0,67;0,66;
0202021;"Dzierżoniów (1)";;0,81;0,80;0,79;0,78;0,78;0,77;0,76;0,77;0,76;0,75;0,74;0,73;0,73;0,72;0,72;0,71;0,70;0,66;0,65;0,64;
0202031;"Pieszyce (1)";;0,84;0,85;0,84;0,83;0,82;0,82;0,81;0,81;0,81;0,80;0,79;0,79;0,79;;;;;;;;
0202033;"Pieszyce (3)";;;;;;;;;;;;;;;0,79;0,78;0,77;0,76;0,72;0,71;0,70;
0202034;"Pieszyce - miasto (4)";;;;;;;;;;;;;;;0,74;0,73;0,73;0,72;0,71;0,70;0,69;
0202035;"Pieszyce - obszar wiejski (5)";;;;;;;;;;;;;;;0,95;0,94;0,91;0,89;0,73;0,72;0,72;
0202041;"Piława Górna (1)";;0,89;0,89;0,88;0,87;0,87;0,86;0,86;0,84;0,83;0,82;0,81;0,81;0,80;0,79;0,78;0,77;0,76;0,73;0,72;0,71;
0202052;"Dzierżoniów (2)";;0,81;0,81;0,81;0,80;0,79;0,78;0,77;0,74;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,68;0,68;0,65;0,64;0,63;
0202062;"Łagiewniki (2)";;0,79;0,79;0,78;0,79;0,79;0,78;0,78;0,81;0,81;0,80;0,79;0,79;0,79;0,78;0,77;0,76;0,76;0,68;0,68;0,67;
0202073;"Niemcza (3)";;0,87;0,86;0,86;0,84;0,83;0,82;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,75;0,74;0,73;0,73;0,70;0,69;0,68;
0202074;"Niemcza - miasto (4)";;0,88;0,87;0,85;0,84;0,83;0,83;0,83;0,85;0,85;0,84;0,84;0,83;0,82;0,81;0,80;0,79;0,79;0,73;0,71;0,70;
0202075;"Niemcza - obszar wiejski (5)";;0,87;0,86;0,86;0,85;0,83;0,81;0,80;0,76;0,75;0,74;0,74;0,73;0,72;0,70;0,69;0,68;0,67;0,66;0,66;0,65;
0203000;"Powiat głogowski";;0,84;0,83;0,83;0,82;0,81;0,80;0,79;0,78;0,78;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,69;0,67;0,66;
0203011;"Głogów (1)";;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,71;0,69;0,68;0,67;
0203022;"Głogów (2)";;0,77;0,76;0,75;0,77;0,77;0,75;0,75;0,70;0,71;0,70;0,69;0,68;0,68;0,68;0,67;0,67;0,66;0,63;0,63;0,62;
0203032;"Jerzmanowa (2)";;0,80;0,81;0,80;0,79;0,81;0,79;0,76;0,68;0,69;0,70;0,70;0,69;0,68;0,68;0,66;0,66;0,65;0,61;0,62;0,62;
0203042;"Kotla (2)";;0,84;0,83;0,84;0,83;0,83;0,82;0,82;0,82;0,82;0,82;0,81;0,81;0,81;0,79;0,78;0,77;0,77;0,72;0,70;0,70;
0203052;"Pęcław (2)";;0,90;0,90;0,90;0,90;0,90;0,90;0,88;0,87;0,87;0,86;0,86;0,85;0,84;0,84;0,83;0,82;0,81;0,73;0,72;0,72;
0203062;"Żukowice (2)";;0,84;0,83;0,84;0,83;0,83;0,82;0,82;0,86;0,85;0,84;0,83;0,81;0,80;0,79;0,78;0,77;0,76;0,73;0,73;0,73;
0204000;"Powiat górowski";;0,84;0,84;0,83;0,83;0,83;0,82;0,82;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,67;0,66;0,65;
0204013;"Góra (3)";;0,82;0,81;0,81;0,81;0,81;0,80;0,79;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,67;0,66;0,65;
0204014;"Góra - miasto (4)";;0,78;0,78;0,77;0,76;0,76;0,75;0,75;0,76;0,75;0,74;0,73;0,73;0,72;0,70;0,69;0,68;0,67;0,64;0,63;0,61;
0204015;"Góra - obszar wiejski (5)";;0,89;0,88;0,88;0,88;0,89;0,88;0,87;0,86;0,85;0,84;0,83;0,82;0,81;0,80;0,79;0,78;0,78;0,73;0,72;0,70;
0204022;"Jemielno (2)";;0,82;0,81;0,81;0,81;0,81;0,81;0,80;0,80;0,80;0,79;0,79;0,79;0,78;0,76;0,75;0,74;0,73;0,68;0,66;0,66;
0204032;"Niechlów (2)";;0,90;0,90;0,88;0,88;0,87;0,87;0,87;0,85;0,85;0,84;0,83;0,83;0,81;0,81;0,80;0,79;0,77;0,69;0,69;0,67;
0204043;"Wąsosz (3)";;0,87;0,87;0,87;0,86;0,86;0,85;0,85;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,73;0,72;0,71;0,67;0,66;0,65;
0204044;"Wąsosz - miasto (4)";;0,86;0,87;0,88;0,87;0,86;0,85;0,84;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,72;0,71;0,69;0,66;0,64;0,64;
0204045;"Wąsosz - obszar wiejski (5)";;0,87;0,86;0,86;0,86;0,86;0,85;0,85;0,81;0,80;0,80;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,68;0,67;0,66;
0205000;"Powiat jaworski";;0,82;0,81;0,81;0,80;0,80;0,79;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,71;0,70;0,68;0,67;0,65;
0205011;"Jawor (1)";;0,83;0,83;0,82;0,82;0,81;0,81;0,80;0,79;0,78;0,78;0,77;0,76;0,76;0,75;0,74;0,73;0,72;0,68;0,67;0,65;
0205023;"Bolków (3)";;0,85;0,84;0,84;0,84;0,83;0,83;0,83;0,82;0,81;0,81;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,70;0,68;0,68;
0205024;"Bolków - miasto (4)";;0,87;0,86;0,85;0,84;0,83;0,83;0,82;0,84;0,83;0,82;0,80;0,79;0,77;0,76;0,75;0,74;0,73;0,69;0,67;0,66;
0205025;"Bolków - obszar wiejski (5)";;0,83;0,83;0,83;0,83;0,84;0,83;0,83;0,81;0,80;0,79;0,78;0,77;0,77;0,77;0,77;0,76;0,74;0,71;0,70;0,69;
0205032;"Męcinka (2)";;0,76;0,75;0,74;0,74;0,74;0,74;0,73;0,69;0,68;0,68;0,67;0,66;0,66;0,65;0,64;0,63;0,62;0,65;0,64;0,63;
0205042;"Mściwojów (2)";;0,79;0,78;0,77;0,77;0,76;0,76;0,76;0,81;0,80;0,79;0,79;0,78;0,77;0,76;0,74;0,73;0,72;0,70;0,69;0,67;
0205052;"Paszowice (2)";;0,76;0,76;0,75;0,75;0,74;0,74;0,74;0,71;0,71;0,70;0,70;0,69;0,68;0,67;0,66;0,64;0,63;0,69;0,67;0,66;
0205062;"Wądroże Wielkie (2)";;0,81;0,81;0,80;0,80;0,79;0,79;0,78;0,74;0,74;0,74;0,73;0,72;0,70;0,69;0,69;0,68;0,67;0,66;0,64;0,63;
0206000;"Powiat karkonoski";;0,75;0,75;0,74;0,73;0,73;0,72;0,70;0,69;0,68;0,68;0,67;0,66;0,65;0,64;0,63;0,62;0,61;0,58;0,57;0,56;
0206011;"Karpacz (1)";;0,62;0,60;0,58;0,57;0,56;0,55;0,53;0,54;0,52;0,52;0,51;0,50;0,49;0,47;0,46;0,45;0,44;0,42;0,41;0,41;
0206021;"Kowary (1)";;0,82;0,81;0,80;0,80;0,79;0,78;0,77;0,77;0,77;0,76;0,75;0,74;0,73;0,72;0,72;0,71;0,70;0,65;0,64;0,63;
0206031;"Piechowice (1)";;0,74;0,73;0,73;0,73;0,73;0,72;0,71;0,69;0,68;0,68;0,67;0,67;0,66;0,65;0,64;0,63;0,62;0,61;0,60;0,59;
0206041;"Szklarska Poręba (1)";;0,67;0,66;0,65;0,64;0,64;0,63;0,61;0,58;0,57;0,55;0,54;0,53;0,52;0,50;0,48;0,46;0,45;0,42;0,42;0,41;
0206052;"Janowice Wielkie (2)";;0,82;0,81;0,80;0,79;0,79;0,78;0,78;0,75;0,75;0,74;0,75;0,74;0,73;0,73;0,72;0,71;0,70;0,66;0,65;0,64;
0206062;"Jeżów Sudecki (2)";;0,75;0,75;0,75;0,76;0,76;0,75;0,74;0,66;0,66;0,66;0,66;0,65;0,64;0,64;0,63;0,63;0,62;0,60;0,60;0,59;
0206072;"Mysłakowice (2)";;0,84;0,83;0,82;0,81;0,81;0,79;0,78;0,75;0,75;0,74;0,73;0,71;0,70;0,69;0,68;0,68;0,67;0,64;0,63;0,62;
0206082;"Podgórzyn (2)";;0,75;0,74;0,74;0,73;0,72;0,69;0,68;0,72;0,71;0,71;0,70;0,70;0,69;0,68;0,68;0,67;0,65;0,61;0,59;0,58;
0206092;"Stara Kamienica (2)";;0,76;0,75;0,75;0,75;0,75;0,74;0,74;0,72;0,71;0,71;0,69;0,68;0,67;0,67;0,66;0,66;0,65;0,62;0,62;0,62;
0207000;"Powiat kamiennogórski";;0,89;0,88;0,88;0,87;0,86;0,85;0,84;0,82;0,81;0,80;0,79;0,78;0,77;0,77;0,76;0,75;0,74;0,71;0,69;0,68;
0207011;"Kamienna Góra (1)";;0,92;0,91;0,90;0,89;0,88;0,87;0,85;0,86;0,85;0,84;0,82;0,82;0,81;0,80;0,79;0,78;0,77;0,73;0,72;0,70;
0207022;"Kamienna Góra (2)";;0,93;0,92;0,92;0,91;0,91;0,89;0,90;0,81;0,81;0,81;0,80;0,78;0,77;0,77;0,77;0,76;0,75;0,72;0,71;0,70;
0207033;"Lubawka (3)";;0,84;0,84;0,83;0,82;0,82;0,81;0,80;0,78;0,77;0,76;0,75;0,74;0,73;0,73;0,72;0,71;0,70;0,66;0,65;0,64;
0207034;"Lubawka - miasto (4)";;0,85;0,84;0,84;0,82;0,81;0,80;0,79;0,79;0,79;0,78;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,67;0,65;0,65;
0207035;"Lubawka - obszar wiejski (5)";;0,84;0,84;0,83;0,82;0,82;0,82;0,82;0,76;0,75;0,74;0,72;0,71;0,71;0,70;0,70;0,69;0,68;0,66;0,65;0,64;
0207042;"Marciszów (2)";;0,84;0,84;0,84;0,83;0,82;0,81;0,81;0,79;0,79;0,77;0,76;0,76;0,75;0,74;0,74;0,73;0,72;0,69;0,68;0,67;
0208000;"Powiat kłodzki";;0,81;0,80;0,79;0,78;0,77;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,64;0,63;0,62;
0208011;"Duszniki-Zdrój (1)";;0,80;0,79;0,78;0,77;0,76;0,75;0,73;0,75;0,74;0,74;0,73;0,71;0,71;0,70;0,69;0,68;0,67;0,62;0,61;0,59;
0208021;"Kłodzko (1)";;0,79;0,78;0,77;0,76;0,76;0,75;0,75;0,75;0,74;0,74;0,72;0,71;0,71;0,70;0,69;0,69;0,68;0,64;0,63;0,61;
0208031;"Kudowa-Zdrój (1)";;0,79;0,78;0,77;0,76;0,76;0,75;0,74;0,74;0,73;0,72;0,71;0,71;0,71;0,69;0,69;0,68;0,67;0,64;0,62;0,61;
0208041;"Nowa Ruda (1)";;0,84;0,83;0,82;0,81;0,80;0,79;0,79;0,79;0,78;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,68;0,66;0,65;
0208051;"Polanica-Zdrój (1)";;0,70;0,68;0,67;0,67;0,67;0,66;0,64;0,63;0,61;0,59;0,58;0,57;0,56;0,55;0,54;0,54;0,53;0,52;0,50;0,49;
0208063;"Bystrzyca Kłodzka (3)";;0,79;0,78;0,77;0,76;0,75;0,75;0,74;0,74;0,73;0,72;0,71;0,70;0,70;0,68;0,67;0,67;0,66;0,62;0,61;0,60;
0208064;"Bystrzyca Kłodzka - miasto (4)";;0,87;0,85;0,84;0,84;0,83;0,83;0,82;0,83;0,82;0,82;0,81;0,80;0,80;0,79;0,78;0,78;0,77;0,70;0,69;0,67;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";;0,72;0,70;0,70;0,69;0,68;0,67;0,66;0,66;0,65;0,64;0,62;0,62;0,61;0,59;0,58;0,58;0,57;0,55;0,54;0,53;
0208072;"Kłodzko (2)";;0,85;0,85;0,84;0,84;0,83;0,82;0,80;0,78;0,77;0,77;0,76;0,76;0,74;0,74;0,73;0,73;0,72;0,67;0,66;0,64;
0208083;"Lądek-Zdrój (3)";;0,74;0,73;0,72;0,71;0,70;0,69;0,68;0,70;0,70;0,68;0,67;0,67;0,66;0,65;0,65;0,64;0,63;0,61;0,59;0,58;
0208084;"Lądek-Zdrój - miasto (4)";;0,76;0,75;0,74;0,73;0,72;0,71;0,70;0,71;0,71;0,70;0,68;0,68;0,67;0,66;0,65;0,65;0,64;0,60;0,59;0,58;
0208085;"Lądek-Zdrój - obszar wiejski (5)";;0,68;0,68;0,67;0,66;0,66;0,65;0,64;0,68;0,67;0,65;0,65;0,64;0,63;0,63;0,63;0,62;0,62;0,62;0,61;0,60;
0208092;"Lewin Kłodzki (2)";;0,75;0,73;0,73;0,73;0,71;0,70;0,69;0,70;0,70;0,68;0,67;0,66;0,66;0,66;0,66;0,65;0,64;0,64;0,63;0,63;
0208103;"Międzylesie (3)";;0,80;0,78;0,77;0,76;0,76;0,74;0,74;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,68;0,67;0,67;0,63;0,61;0,61;
0208104;"Międzylesie - miasto (4)";;0,88;0,86;0,86;0,85;0,85;0,84;0,83;0,83;0,82;0,82;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,67;0,66;0,64;
0208105;"Międzylesie - obszar wiejski (5)";;0,75;0,74;0,73;0,72;0,72;0,70;0,69;0,69;0,69;0,68;0,67;0,67;0,66;0,65;0,64;0,64;0,63;0,60;0,59;0,59;
0208112;"Nowa Ruda (2)";;0,83;0,82;0,81;0,80;0,79;0,78;0,77;0,78;0,77;0,76;0,75;0,74;0,73;0,73;0,72;0,71;0,70;0,66;0,65;0,63;
0208123;"Radków (3)";;0,87;0,86;0,86;0,85;0,83;0,83;0,83;0,80;0,79;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,73;0,73;0,72;0,71;
0208124;"Radków - miasto (4)";;0,91;0,89;0,88;0,87;0,84;0,85;0,83;0,84;0,84;0,83;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,72;0,71;0,70;
0208125;"Radków - obszar wiejski (5)";;0,86;0,85;0,85;0,84;0,83;0,82;0,82;0,78;0,78;0,77;0,77;0,76;0,75;0,74;0,73;0,72;0,72;0,74;0,72;0,71;
0208133;"Stronie Śląskie (3)";;0,86;0,85;0,84;0,83;0,82;0,81;0,79;0,75;0,74;0,73;0,73;0,72;0,71;0,70;0,69;0,69;0,68;0,63;0,61;0,60;
0208134;"Stronie Śląskie - miasto (4)";;0,94;0,92;0,92;0,91;0,91;0,90;0,89;0,84;0,84;0,83;0,83;0,82;0,81;0,80;0,79;0,79;0,78;0,68;0,66;0,65;
0208135;"Stronie Śląskie - obszar wiejski (5)";;0,66;0,65;0,64;0,62;0,60;0,59;0,58;0,54;0,52;0,52;0,51;0,51;0,50;0,49;0,50;0,50;0,49;0,53;0,49;0,47;
0208143;"Szczytna (3)";;0,88;0,87;0,86;0,85;0,84;0,83;0,83;0,82;0,82;0,81;0,81;0,80;0,79;0,78;0,77;0,76;0,75;0,68;0,67;0,66;
0208144;"Szczytna - miasto (4)";;0,88;0,88;0,87;0,87;0,85;0,84;0,83;0,83;0,83;0,82;0,82;0,81;0,79;0,78;0,78;0,77;0,76;0,67;0,66;0,65;
0208145;"Szczytna - obszar wiejski (5)";;0,86;0,86;0,84;0,83;0,83;0,82;0,80;0,80;0,80;0,78;0,78;0,78;0,77;0,76;0,74;0,74;0,73;0,69;0,67;0,66;
0209000;"Powiat legnicki";;0,79;0,79;0,78;0,78;0,77;0,77;0,76;0,74;0,74;0,73;0,72;0,72;0,71;0,70;0,70;0,69;0,68;0,65;0,64;0,63;
0209011;"Chojnów (1)";;0,84;0,83;0,82;0,82;0,82;0,81;0,81;0,80;0,80;0,79;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,69;0,67;0,66;
0209022;"Chojnów (2)";;0,76;0,76;0,76;0,76;0,76;0,75;0,74;0,72;0,71;0,70;0,69;0,69;0,68;0,67;0,67;0,67;0,66;0,62;0,61;0,60;
0209032;"Krotoszyce (2)";;0,77;0,77;0,75;0,74;0,73;0,72;0,71;0,73;0,72;0,72;0,71;0,71;0,69;0,69;0,68;0,68;0,66;0,62;0,62;0,61;
0209042;"Kunice (2)";;0,71;0,71;0,70;0,69;0,69;0,68;0,67;0,66;0,66;0,66;0,65;0,64;0,65;0,64;0,64;0,64;0,63;0,59;0,59;0,59;
0209052;"Legnickie Pole (2)";;0,81;0,80;0,80;0,79;0,79;0,78;0,77;0,75;0,75;0,74;0,73;0,72;0,71;0,71;0,71;0,70;0,68;0,65;0,66;0,65;
0209062;"Miłkowice (2)";;0,75;0,75;0,74;0,73;0,73;0,72;0,71;0,72;0,71;0,71;0,70;0,70;0,69;0,68;0,68;0,66;0,65;0,64;0,63;0,61;
0209073;"Prochowice (3)";;0,82;0,82;0,82;0,82;0,81;0,81;0,79;0,75;0,74;0,74;0,73;0,73;0,72;0,71;0,71;0,70;0,69;0,66;0,66;0,65;
0209074;"Prochowice - miasto (4)";;0,80;0,80;0,80;0,79;0,79;0,77;0,76;0,73;0,73;0,72;0,71;0,71;0,70;0,70;0,70;0,69;0,67;0,64;0,63;0,63;
0209075;"Prochowice - obszar wiejski (5)";;0,84;0,84;0,84;0,84;0,83;0,84;0,83;0,76;0,75;0,75;0,75;0,74;0,74;0,73;0,72;0,72;0,71;0,69;0,68;0,67;
0209082;"Ruja (2)";;0,82;0,81;0,81;0,81;0,82;0,83;0,82;0,82;0,81;0,80;0,80;0,79;0,78;0,77;0,76;0,76;0,75;0,69;0,69;0,68;
0210000;"Powiat lubański";;0,78;0,77;0,77;0,76;0,75;0,75;0,74;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,68;0,68;0,67;0,65;0,64;0,63;
0210011;"Lubań (1)";;0,80;0,80;0,79;0,77;0,77;0,76;0,76;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,71;0,70;0,69;0,65;0,64;0,63;
0210021;"Świeradów-Zdrój (1)";;0,69;0,68;0,68;0,67;0,66;0,65;0,65;0,63;0,62;0,61;0,59;0,58;0,56;0,56;0,54;0,53;0,52;0,54;0,52;0,51;
0210033;"Leśna (3)";;0,82;0,82;0,81;0,81;0,80;0,80;0,79;0,77;0,77;0,77;0,76;0,75;0,75;0,74;0,73;0,72;0,71;0,70;0,69;0,68;
0210034;"Leśna - miasto (4)";;0,84;0,83;0,83;0,82;0,81;0,81;0,79;0,80;0,80;0,80;0,79;0,79;0,78;0,77;0,77;0,76;0,74;0,69;0,68;0,66;
0210035;"Leśna - obszar wiejski (5)";;0,81;0,81;0,80;0,80;0,80;0,80;0,79;0,75;0,74;0,74;0,74;0,72;0,72;0,71;0,70;0,70;0,69;0,71;0,69;0,69;
0210042;"Lubań (2)";;0,77;0,76;0,76;0,76;0,76;0,75;0,74;0,77;0,76;0,75;0,75;0,74;0,74;0,73;0,72;0,71;0,71;0,69;0,69;0,68;
0210052;"Olszyna (2)";;0,78;0,77;;;;;;;;;;;;;;;;;;;
0210053;"Olszyna (3)";;;;0,78;0,77;0,77;0,76;0,74;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,68;0,67;0,66;0,65;0,64;0,63;
0210054;"Olszyna - miasto (4)";;;;0,81;0,81;0,80;0,80;0,78;0,72;0,71;0,70;0,70;0,69;0,68;0,67;0,66;0,66;0,65;0,65;0,64;0,64;
0210055;"Olszyna - obszar wiejski (5)";;;;0,73;0,70;0,69;0,69;0,67;0,74;0,74;0,73;0,72;0,71;0,71;0,71;0,71;0,70;0,70;0,65;0,63;0,63;
0210062;"Platerówka (2)";;0,70;0,69;0,69;0,70;0,68;0,68;0,67;0,63;0,63;0,62;0,62;0,62;0,60;0,60;0,60;0,60;0,60;0,59;0,58;0,57;
0210072;"Siekierczyn (2)";;0,70;0,70;0,69;0,69;0,69;0,69;0,68;0,67;0,67;0,66;0,64;0,64;0,63;0,63;0,63;0,62;0,62;0,62;0,61;0,61;
0211000;"Powiat lubiński";;0,82;0,82;0,81;0,80;0,79;0,78;0,77;0,75;0,74;0,74;0,73;0,72;0,71;0,70;0,70;0,69;0,68;0,64;0,63;0,62;
0211011;"Lubin (1)";;0,84;0,83;0,82;0,81;0,80;0,78;0,77;0,77;0,76;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,68;0,65;0,64;0,62;
0211022;"Lubin (2)";;0,74;0,75;0,74;0,74;0,74;0,72;0,71;0,65;0,65;0,65;0,64;0,64;0,63;0,63;0,63;0,62;0,62;0,59;0,59;0,58;
0211032;"Rudna (2)";;0,82;0,82;0,82;0,82;0,82;0,82;0,81;0,80;0,79;0,79;0,78;0,77;0,76;0,76;0,76;0,75;0,75;0,63;0,62;0,62;
0211043;"Ścinawa (3)";;0,84;0,83;0,83;0,82;0,82;0,81;0,81;0,79;0,78;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,68;0,68;0,67;
0211044;"Ścinawa - miasto (4)";;0,84;0,84;0,83;0,82;0,81;0,81;0,80;0,81;0,79;0,78;0,77;0,76;0,75;0,74;0,74;0,72;0,71;0,67;0,67;0,66;
0211045;"Ścinawa - obszar wiejski (5)";;0,83;0,83;0,82;0,82;0,82;0,81;0,81;0,78;0,78;0,78;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,70;0,69;0,69;
0212000;"Powiat lwówecki";;0,76;0,76;0,75;0,74;0,74;0,73;0,73;0,73;0,73;0,72;0,71;0,70;0,69;0,69;0,68;0,68;0,67;0,64;0,63;0,62;
0212013;"Gryfów Śląski (3)";;0,78;0,78;0,77;0,76;0,74;0,74;0,73;0,72;0,72;0,71;0,70;0,69;0,68;0,67;0,67;0,66;0,66;0,64;0,63;0,62;
0212014;"Gryfów Śląski - miasto (4)";;0,82;0,81;0,81;0,79;0,78;0,77;0,76;0,77;0,76;0,75;0,74;0,73;0,72;0,71;0,71;0,70;0,70;0,66;0,65;0,63;
0212015;"Gryfów Śląski - obszar wiejski (5)";;0,71;0,70;0,70;0,69;0,68;0,67;0,67;0,63;0,63;0,63;0,62;0,62;0,60;0,61;0,60;0,59;0,58;0,62;0,61;0,60;
0212023;"Lubomierz (3)";;0,71;0,71;0,71;0,71;0,70;0,71;0,71;0,77;0,77;0,76;0,75;0,75;0,74;0,74;0,75;0,74;0,74;0,67;0,66;0,65;
0212024;"Lubomierz - miasto (4)";;0,72;0,74;0,74;0,74;0,73;0,74;0,74;0,82;0,82;0,80;0,79;0,77;0,76;0,76;0,79;0,78;0,79;0,67;0,65;0,65;
0212025;"Lubomierz - obszar wiejski (5)";;0,70;0,70;0,69;0,70;0,69;0,70;0,69;0,74;0,74;0,75;0,74;0,73;0,74;0,73;0,73;0,72;0,72;0,68;0,67;0,66;
0212033;"Lwówek Śląski (3)";;0,77;0,77;0,76;0,76;0,75;0,74;0,73;0,75;0,75;0,74;0,73;0,71;0,71;0,70;0,69;0,68;0,68;0,65;0,63;0,63;
