"Kod";"Nazwa";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem - uzbrojone;2020;[ha]";"ogółem - uzbrojone;2021;[ha]";"ogółem - uzbrojone;2022;[ha]";
1608072;"Zębowice (2)";3,8;3,8;3,8;3,8;3,8;3,8;
1609000;"Powiat opolski";88,7;84,9;87,7;51,1;49,2;51,2;
1609012;"Chrząstowice (2)";15,3;15,3;14,8;15,3;15,3;14,8;
1609022;"Dąbrowa (2)";2,2;0,9;0,8;0,6;0,6;0,6;
1609032;"Dobrzeń Wielki (2)";7,2;6,8;6,7;0,0;0,0;0,0;
1609042;"Komprachcice (2)";3,8;3,8;3,8;2,1;2,1;2,1;
1609062;"Murów (2)";28,1;28,0;28,0;8,7;8,7;8,7;
1609073;"Niemodlin (3)";10,7;10,0;9,8;9,7;9,1;8,9;
1609074;"Niemodlin - miasto (4)";4,4;4,4;4,3;3,5;3,5;3,4;
1609075;"Niemodlin - obszar wiejski (5)";6,3;5,6;5,5;6,2;5,6;5,5;
1609083;"Ozimek (3)";1,0;1,0;3,8;1,0;1,0;3,8;
1609084;"Ozimek - miasto (4)";0,3;0,3;2,0;0,3;0,3;2,0;
1609085;"Ozimek - obszar wiejski (5)";0,7;0,7;1,8;0,7;0,7;1,8;
1609092;"Popielów (2)";16,2;14,9;14,8;9,9;8,6;8,5;
1609103;"Prószków (3)";1,5;1,5;1,5;1,5;1,5;1,5;
1609104;"Prószków - miasto (4)";1,2;1,2;1,2;1,2;1,2;1,2;
1609105;"Prószków - obszar wiejski (5)";0,3;0,3;0,3;0,3;0,3;0,3;
1609112;"Tarnów Opolski (2)";0,6;0,6;1,6;0,2;0,2;0,2;
1609123;"Tułowice (3)";2,1;2,1;2,1;2,1;2,1;2,1;
1609124;"Tułowice - miasto (4)";1,9;1,9;1,9;1,9;1,9;1,9;
1609125;"Tułowice - obszar wiejski (5)";0,2;0,2;0,2;0,2;0,2;0,2;
1610000;"Powiat prudnicki";30,1;27,5;29,5;10,4;10,3;9,7;
1610013;"Biała (3)";2,2;2,2;2,2;1,9;1,9;1,9;
1610014;"Biała - miasto (4)";1,0;1,0;1,0;0,7;0,7;0,7;
1610015;"Biała - obszar wiejski (5)";1,2;1,2;1,2;1,2;1,2;1,2;
1610023;"Głogówek (3)";8,5;8,4;7,8;8,5;8,4;7,8;
1610024;"Głogówek - miasto (4)";6,5;6,4;5,9;6,5;6,4;5,9;
1610025;"Głogówek - obszar wiejski (5)";2,0;2,0;1,9;2,0;2,0;1,9;
1610043;"Prudnik (3)";19,4;16,9;19,5;0,0;0,0;0,0;
1610044;"Prudnik - miasto (4)";16,8;15,7;14,6;0,0;0,0;0,0;
1610045;"Prudnik - obszar wiejski (5)";2,6;1,2;4,9;0,0;0,0;0,0;
1611000;"Powiat strzelecki";30,2;30,9;28,5;26,6;25,4;24,2;
1611012;"Izbicko (2)";2,6;4,6;4,0;2,6;2,2;2,2;
1611022;"Jemielnica (2)";1,1;1,1;1,1;1,1;1,1;1,1;
1611033;"Kolonowskie (3)";3,1;3,0;2,4;3,0;3,0;2,4;
1611034;"Kolonowskie - miasto (4)";3,0;2,5;1,9;3,0;2,5;1,9;
1611035;"Kolonowskie - obszar wiejski (5)";0,1;0,5;0,5;0,0;0,5;0,5;
1611043;"Leśnica (3)";10,4;10,4;10,2;10,4;10,4;10,2;
1611044;"Leśnica - miasto (4)";10,4;10,4;10,2;10,4;10,4;10,2;
1611053;"Strzelce Opolskie (3)";8,5;7,3;6,5;5,0;4,2;4,0;
1611054;"Strzelce Opolskie - miasto (4)";5,3;4,8;4,6;3,3;2,8;2,6;
1611055;"Strzelce Opolskie - obszar wiejski (5)";3,2;2,5;1,9;1,7;1,4;1,4;
1611063;"Ujazd (3)";2,5;2,5;2,3;2,5;2,5;2,3;
1611064;"Ujazd - miasto (4)";0,9;0,9;0,8;0,9;0,9;0,8;
1611065;"Ujazd - obszar wiejski (5)";1,6;1,6;1,5;1,6;1,6;1,5;
1611073;"Zawadzkie (3)";2,0;2,0;2,0;2,0;2,0;2,0;
1611074;"Zawadzkie - miasto (4)";1,7;1,7;1,7;1,7;1,7;1,7;
1611075;"Zawadzkie - obszar wiejski (5)";0,3;0,3;0,3;0,3;0,3;0,3;
1661000;"Powiat m. Opole";11,2;35,3;36,8;6,6;22,8;24,3;
1661011;"Opole (1)";11,2;35,3;36,8;6,6;22,8;24,3;
1800000;"PODKARPACKIE";1230,1;1209,9;1221,5;668,4;650,0;649,9;
1801000;"Powiat bieszczadzki";23,0;22,8;22,8;11,4;11,4;11,7;
1801032;"Czarna (2)";4,3;4,3;4,3;4,3;4,3;4,3;
1801052;"Lutowiska (2)";1,0;1,0;1,0;1,0;1,0;1,0;
1801083;"Ustrzyki Dolne (3)";17,7;17,5;17,5;6,1;6,1;6,4;
1801084;"Ustrzyki Dolne - miasto (4)";2,5;2,6;3,3;2,1;2,1;2,4;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";15,2;14,9;14,2;4,0;4,0;4,0;
1802000;"Powiat brzozowski";24,9;24,7;24,7;20,6;20,4;20,4;
1802013;"Brzozów (3)";3,8;3,8;3,8;0,0;0,0;0,0;
1802014;"Brzozów - miasto (4)";3,8;3,8;3,8;0,0;0,0;0,0;
1802022;"Domaradz (2)";0,1;0,1;0,1;0,1;0,1;0,1;
1802032;"Dydnia (2)";1,8;1,6;1,6;1,8;1,6;1,6;
1802042;"Haczów (2)";0,9;0,9;0,9;0,4;0,4;0,4;
1802052;"Jasienica Rosielna (2)";13,0;13,0;13,0;13,0;13,0;13,0;
1802062;"Nozdrzec (2)";5,3;5,3;5,3;5,3;5,3;5,3;
1803000;"Powiat dębicki";4,5;4,7;6,0;4,0;4,2;4,1;
1803011;"Dębica (1)";1,4;1,4;1,3;1,4;1,4;1,3;
1803023;"Brzostek (3)";1,0;1,0;1,3;1,0;1,0;1,3;
1803025;"Brzostek - obszar wiejski (5)";1,0;1,0;1,3;1,0;1,0;1,3;
1803042;"Dębica (2)";1,1;1,1;1,1;1,1;1,1;1,1;
1803072;"Żyraków (2)";1,0;1,2;2,3;0,5;0,7;0,4;
1804000;"Powiat jarosławski";59,9;54,4;53,4;33,4;29,6;28,1;
1804011;"Jarosław (1)";10,1;10,1;10,1;4,6;4,6;4,6;
1804021;"Radymno (1)";0,5;0,5;0,5;0,5;0,5;0,5;
1804042;"Jarosław (2)";20,9;20,9;20,9;3,8;3,8;3,8;
1804052;"Laszki (2)";3,3;1,6;1,1;2,5;0,8;0,8;
1804062;"Pawłosiów (2)";1,0;0,9;0,9;1,0;0,9;0,9;
1804073;"Pruchnik (3)";11,2;8,8;8,8;11,2;8,8;8,8;
1804074;"Pruchnik - miasto (4)";5,6;5,6;5,6;5,6;5,6;5,6;
1804075;"Pruchnik - obszar wiejski (5)";5,6;3,2;3,2;5,6;3,2;3,2;
1804082;"Radymno (2)";3,8;2,5;2,0;1,1;1,5;0,0;
1804092;"Rokietnica (2)";3,1;3,1;3,1;3,1;3,1;3,1;
1804102;"Roźwienica (2)";5,6;5,6;5,6;5,6;5,6;5,6;
1804112;"Wiązownica (2)";0,4;0,4;0,4;0,0;0,0;0,0;
1805000;"Powiat jasielski";24,0;22,7;23,1;19,7;19,2;19,7;
1805011;"Jasło (1)";0,8;0,7;1,5;0,8;0,7;1,4;
1805032;"Dębowiec (2)";0,7;0,3;0,2;0,7;0,3;0,2;
1805042;"Jasło (2)";1,9;1,9;1,8;1,9;1,9;1,8;
1805053;"Kołaczyce (3)";1,7;1,7;1,7;1,7;1,7;1,7;
1805054;"Kołaczyce - miasto (4)";0,4;0,4;0,4;0,4;0,4;0,4;
1805055;"Kołaczyce - obszar wiejski (5)";1,3;1,3;1,3;1,3;1,3;1,3;
1805062;"Krempna (2)";2,8;2,8;2,7;0,8;0,8;0,8;
1805072;"Nowy Żmigród (2)";6,6;6,6;6,6;6,6;6,6;6,6;
1805082;"Osiek Jasielski (2)";2,3;1,5;1,4;0,0;0,0;0,0;
1805112;"Tarnowiec (2)";7,2;7,2;7,2;7,2;7,2;7,2;
1806000;"Powiat kolbuszowski";67,0;64,9;62,1;10,1;8,9;7,1;
1806012;"Cmolas (2)";6,8;6,8;5,8;6,5;6,5;5,5;
1806023;"Kolbuszowa (3)";52,4;50,5;49,4;2,8;1,6;0,6;
1806024;"Kolbuszowa - miasto (4)";51,9;50,0;48,9;2,3;1,1;0,1;
1806025;"Kolbuszowa - obszar wiejski (5)";0,5;0,5;0,5;0,5;0,5;0,5;
1806032;"Majdan Królewski (2)";0,8;0,6;0,7;0,1;0,1;0,3;
1806042;"Niwiska (2)";0,7;0,7;0,7;0,7;0,7;0,7;
1806052;"Raniżów (2)";0,2;0,2;0,2;0,0;0,0;0,0;
1806062;"Dzikowiec (2)";6,1;6,1;5,3;0,0;0,0;0,0;
1807000;"Powiat krośnieński";52,6;51,8;50,7;24,5;24,1;25,1;
1807012;"Chorkówka (2)";6,0;5,7;5,3;0,0;0,0;0,0;
1807023;"Dukla (3)";17,8;16,4;15,6;2,3;2,1;1,9;
1807024;"Dukla - miasto (4)";4,4;4,1;4,1;0,0;0,0;0,0;
1807025;"Dukla - obszar wiejski (5)";13,4;12,3;11,5;2,3;2,1;1,9;
1807033;"Iwonicz-Zdrój (3)";9,9;9,9;9,9;9,9;9,9;9,9;
1807034;"Iwonicz-Zdrój - miasto (4)";3,2;3,2;3,2;3,2;3,2;3,2;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";6,7;6,7;6,7;6,7;6,7;6,7;
1807043;"Jedlicze (3)";1,0;1,0;0,6;1,0;1,0;0,6;
1807044;"Jedlicze - miasto (4)";0,5;0,5;0,4;0,5;0,5;0,4;
1807045;"Jedlicze - obszar wiejski (5)";0,5;0,5;0,2;0,5;0,5;0,2;
1807052;"Korczyna (2)";3,4;3,4;3,4;2,6;2,6;2,6;
1807072;"Miejsce Piastowe (2)";3,5;4,6;3,3;1,1;1,1;0,9;
1807083;"Rymanów (3)";1,5;1,3;3,1;1,5;1,3;3,1;
1807084;"Rymanów - miasto (4)";0,3;0,2;0,2;0,3;0,2;0,2;
1807085;"Rymanów - obszar wiejski (5)";1,2;1,1;2,9;1,2;1,1;2,9;
1807092;"Wojaszówka (2)";4,1;4,1;4,1;0,7;0,7;0,7;
1807102;"Jaśliska (2)";5,4;5,4;5,4;5,4;5,4;5,4;
1808000;"Powiat leżajski";67,8;66,3;65,0;48,2;46,7;45,4;
1808011;"Leżajsk (1)";0,8;0,8;0,8;0,8;0,8;0,8;
1808022;"Grodzisko Dolne (2)";12,3;12,3;12,3;3,2;3,2;3,2;
1808032;"Kuryłówka (2)";0,9;0,9;0,9;0,9;0,9;0,9;
1808042;"Leżajsk (2)";50,4;50,3;49,3;39,9;39,8;38,8;
1808053;"Nowa Sarzyna (3)";3,4;2,0;1,7;3,4;2,0;1,7;
1808054;"Nowa Sarzyna - miasto (4)";0,7;0,6;0,6;0,7;0,6;0,6;
1808055;"Nowa Sarzyna - obszar wiejski (5)";2,7;1,4;1,1;2,7;1,4;1,1;
1809000;"Powiat lubaczowski";103,5;101,5;96,9;93,2;91,5;88,2;
1809011;"Lubaczów (1)";22,0;18,0;17,0;20,0;16,0;16,0;
1809023;"Cieszanów (3)";47,4;46,3;43,8;39,2;38,3;36,1;
1809024;"Cieszanów - miasto (4)";17,7;16,6;14,1;9,5;8,6;6,4;
1809025;"Cieszanów - obszar wiejski (5)";29,7;29,7;29,7;29,7;29,7;29,7;
1809042;"Lubaczów (2)";1,7;6,6;6,7;1,7;6,6;6,7;
1809053;"Narol (3)";6,6;6,0;5,4;6,5;6,0;5,4;
1809054;"Narol - miasto (4)";4,6;4,5;4,4;4,5;4,5;4,4;
1809055;"Narol - obszar wiejski (5)";2,0;1,5;1,0;2,0;1,5;1,0;
1809063;"Oleszyce (3)";8,3;7,3;7,3;8,3;7,3;7,3;
1809064;"Oleszyce - miasto (4)";0,8;0,7;0,7;0,8;0,7;0,7;
1809065;"Oleszyce - obszar wiejski (5)";7,5;6,6;6,6;7,5;6,6;6,6;
1809072;"Stary Dzików (2)";10,6;10,6;10,6;10,6;10,6;10,6;
1809082;"Wielkie Oczy (2)";6,9;6,7;6,1;6,9;6,7;6,1;
1810000;"Powiat łańcucki";39,9;40,8;34,8;12,4;14,2;9,2;
1810022;"Białobrzegi (2)";13,2;12,8;11,4;0,0;0,0;0,0;
1810032;"Czarna (2)";0,2;3,6;0,0;0,2;3,6;0,0;
1810042;"Łańcut (2)";1,7;1,2;1,2;0,0;0,0;0,0;
1810052;"Markowa (2)";0,3;0,3;0,3;0,3;0,3;0,3;
1810062;"Rakszawa (2)";20,7;20,3;19,7;9,8;9,4;8,2;
1810072;"Żołynia (2)";3,8;2,6;2,2;2,1;0,9;0,7;
1811000;"Powiat mielecki";62,5;53,8;52,2;15,3;14,2;12,8;
1811011;"Mielec (1)";13,5;12,4;11,6;5,8;4,7;3,9;
1811032;"Czermin (2)";5,2;5,2;5,2;4,9;4,9;4,9;
1811052;"Mielec (2)";0,0;0,0;4,1;0,0;0,0;0,0;
1811062;"Padew Narodowa (2)";31,3;23,9;18,3;3,0;3,0;2,4;
1811073;"Przecław (3)";3,8;3,8;3,8;1,2;1,2;1,2;
1811075;"Przecław - obszar wiejski (5)";3,8;3,8;3,8;1,2;1,2;1,2;
1811083;"Radomyśl Wielki (3)";0,4;0,4;0,4;0,4;0,4;0,4;
1811084;"Radomyśl Wielki - miasto (4)";0,4;0,4;0,4;0,4;0,4;0,4;
1811092;"Tuszów Narodowy (2)";1,4;1,2;1,9;0,0;0,0;0,0;
1811102;"Wadowice Górne (2)";6,9;6,9;6,9;0,0;0,0;0,0;
1812000;"Powiat niżański";40,4;37,9;39,1;14,9;12,5;14,0;
1812012;"Harasiuki (2)";5,3;5,3;5,3;5,3;5,3;5,3;
1812022;"Jarocin (2)";1,4;1,4;1,4;1,4;1,4;1,4;
1812032;"Jeżowe (2)";2,9;2,1;2,1;2,9;2,1;2,1;
1812053;"Nisko (3)";26,4;25,7;26,9;0,9;0,5;2,0;
1812054;"Nisko - miasto (4)";15,5;14,8;16,0;0,9;0,5;2,0;
1812055;"Nisko - obszar wiejski (5)";10,9;10,9;10,9;0,0;0,0;0,0;
1812063;"Rudnik nad Sanem (3)";0,2;0,4;0,4;0,2;0,2;0,2;
1812064;"Rudnik nad Sanem - miasto (4)";0,1;0,3;0,3;0,1;0,1;0,1;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";0,1;0,1;0,1;0,1;0,1;0,1;
1812073;"Ulanów (3)";4,2;3,0;3,0;4,2;3,0;3,0;
1812074;"Ulanów - miasto (4)";1,0;1,0;1,0;1,0;1,0;1,0;
1812075;"Ulanów - obszar wiejski (5)";3,2;2,0;2,0;3,2;2,0;2,0;
1813000;"Powiat przemyski";181,8;177,9;175,9;97,9;94,2;93,0;
1813012;"Bircza (2)";61,2;60,3;59,6;61,2;60,3;59,6;
1813022;"Dubiecko (2)";0,5;;;0,2;;;
1813023;"Dubiecko (3)";;0,3;0,3;;0,0;0,0;
1813024;"Dubiecko - miasto (4)";;0,1;0,1;;0,0;0,0;
1813025;"Dubiecko - obszar wiejski (5)";;0,2;0,2;;0,0;0,0;
1813032;"Fredropol (2)";32,8;31,6;31,3;19,7;18,5;18,4;
1813042;"Krasiczyn (2)";0,5;0,5;0,5;0,5;0,5;0,5;
1813052;"Krzywcza (2)";1,1;0,9;0,3;0,0;0,0;0,0;
1813062;"Medyka (2)";0,7;0,7;0,7;0,7;0,7;0,7;
1813072;"Orły (2)";1,0;1,0;1,0;1,0;1,0;1,0;
1813082;"Przemyśl (2)";7,0;7,0;7,0;0,0;0,0;0,0;
1813092;"Stubno (2)";40,0;40,0;40,0;4,0;4,0;4,0;
1813102;"Żurawica (2)";37,0;35,6;35,2;10,6;9,2;8,8;
1814000;"Powiat przeworski";51,5;50,0;56,6;47,1;46,9;55,2;
1814011;"Przeworsk (1)";1,0;0,9;0,4;0,7;0,7;0,4;
1814022;"Adamówka (2)";3,4;2,2;0,9;0,0;0,0;0,0;
1814032;"Gać (2)";7,1;7,1;7,1;7,1;7,1;7,1;
1814042;"Jawornik Polski (2)";1,6;1,4;1,1;0,9;0,7;0,6;
1814062;"Przeworsk (2)";33,4;33,4;33,0;33,4;33,4;33,0;
1814073;"Sieniawa (3)";5,0;5,0;4,6;5,0;5,0;4,6;
1814074;"Sieniawa - miasto (4)";0,4;0,4;0,0;0,4;0,4;0,0;
1814075;"Sieniawa - obszar wiejski (5)";4,6;4,6;4,6;4,6;4,6;4,6;
1814092;"Zarzecze (2)";0,0;0,0;9,5;0,0;0,0;9,5;
1815000;"Powiat ropczycko-sędziszowski";21,5;20,8;19,7;12,9;12,2;11,2;
1815022;"Ostrów (2)";6,4;6,4;6,4;6,4;6,4;6,4;
1815033;"Ropczyce (3)";1,4;1,4;1,2;1,4;1,4;1,2;
1815034;"Ropczyce - miasto (4)";1,4;1,4;1,2;1,4;1,4;1,2;
1815043;"Sędziszów Małopolski (3)";13,7;13,0;12,1;5,1;4,4;3,6;
1815044;"Sędziszów Małopolski - miasto (4)";2,6;2,0;1,2;2,6;2,0;1,2;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";11,1;11,0;10,9;2,5;2,4;2,4;
1816000;"Powiat rzeszowski";106,3;105,9;112,7;54,8;53,6;56,6;
1816011;"Dynów (1)";1,0;1,0;1,0;1,0;1,0;1,0;
1816023;"Błażowa (3)";20,2;20,2;20,2;0,0;0,0;0,0;
1816024;"Błażowa - miasto (4)";5,1;5,1;5,1;0,0;0,0;0,0;
1816025;"Błażowa - obszar wiejski (5)";15,1;15,1;15,1;0,0;0,0;0,0;
1816033;"Boguchwała (3)";0,6;0,6;0,6;0,6;0,6;0,6;
1816035;"Boguchwała - obszar wiejski (5)";0,6;0,6;0,6;0,6;0,6;0,6;
1816052;"Dynów (2)";16,7;16,7;16,7;16,7;16,7;16,7;
1816063;"Głogów Małopolski (3)";35,4;37,7;36,7;10,4;10,4;10,4;
1816064;"Głogów Małopolski - miasto (4)";26,2;28,5;27,5;6,4;6,4;6,4;
1816065;"Głogów Małopolski - obszar wiejski (5)";9,2;9,2;9,2;4,0;4,0;4,0;
1816082;"Kamień (2)";0,1;0,1;0,1;0,1;0,1;0,1;
1816092;"Krasne (2)";0,3;0,0;0,0;0,3;0,0;0,0;
1816113;"Sokołów Małopolski (3)";24,9;23,6;21,6;23,1;23,4;21,4;
1816114;"Sokołów Małopolski - miasto (4)";24,2;23,2;21,2;22,4;23,0;21,0;
1816115;"Sokołów Małopolski - obszar wiejski (5)";0,7;0,4;0,4;0,7;0,4;0,4;
1816122;"Świlcza (2)";1,1;0,3;0,3;1,1;0,3;0,3;
1816132;"Trzebownisko (2)";6,0;5,7;15,5;1,5;1,1;6,1;
1817000;"Powiat sanocki";70,3;67,9;69,0;33,6;31,9;33,1;
1817011;"Sanok (1)";0,7;0,4;1,6;0,7;0,4;1,6;
1817032;"Bukowsko (2)";0,1;0,1;0,1;0,1;0,1;0,1;
1817042;"Komańcza (2)";19,4;17,4;17,3;12,2;10,2;10,2;
1817052;"Sanok (2)";41,7;41,7;41,7;16,0;16,0;16,0;
1817062;"Tyrawa Wołoska (2)";0,2;0,2;0,2;0,2;0,2;0,2;
1817073;"Zagórz (3)";4,7;4,6;4,6;0,9;1,5;1,5;
1817074;"Zagórz - miasto (4)";2,7;2,6;2,6;0,3;0,9;0,9;
1817075;"Zagórz - obszar wiejski (5)";2,0;2,0;2,0;0,6;0,6;0,6;
1817082;"Zarszyn (2)";3,5;3,5;3,5;3,5;3,5;3,5;
1818000;"Powiat stalowowolski";38,2;39,1;52,7;28,2;29,4;26,8;
1818011;"Stalowa Wola (1)";4,0;6,0;5,0;0,0;4,0;3,0;
1818022;"Bojanów (2)";0,0;0,5;0,5;0,0;0,5;0,0;
1818032;"Pysznica (2)";0,8;0,8;2,0;0,3;0,2;0,0;
1818042;"Radomyśl nad Sanem (2)";24,6;21,7;20,6;24,6;21,7;20,6;
1818053;"Zaklików (3)";4,8;4,8;4,8;2,7;2,7;2,7;
1818054;"Zaklików - miasto (4)";4,8;4,8;4,8;2,7;2,7;2,7;
1818062;"Zaleszany (2)";4,0;5,3;19,8;0,6;0,3;0,5;
1819000;"Powiat strzyżowski";5,2;4,9;4,4;0,2;0,2;0,2;
1819022;"Frysztak (2)";0,3;0,3;0,0;0,0;0,0;0,0;
1819043;"Strzyżów (3)";4,9;4,6;4,4;0,2;0,2;0,2;
1819044;"Strzyżów - miasto (4)";2,9;2,6;2,6;0,2;0,2;0,2;
1819045;"Strzyżów - obszar wiejski (5)";2,0;2,0;1,8;0,0;0,0;0,0;
1820000;"Powiat tarnobrzeski";59,5;77,7;74,4;27,8;29,6;26,3;
1820013;"Baranów Sandomierski (3)";31,7;51,8;50,2;0,0;3,7;2,1;
1820014;"Baranów Sandomierski - miasto (4)";19,0;19,6;19,6;0,0;0,0;0,0;
1820015;"Baranów Sandomierski - obszar wiejski (5)";12,7;32,2;30,6;0,0;3,7;2,1;
1820022;"Gorzyce (2)";4,4;4,0;3,0;4,4;4,0;3,0;
1820043;"Nowa Dęba (3)";23,4;21,9;21,2;23,4;21,9;21,2;
1820044;"Nowa Dęba - miasto (4)";0,4;0,7;0,7;0,4;0,7;0,7;
1820045;"Nowa Dęba - obszar wiejski (5)";23,0;21,2;20,5;23,0;21,2;20,5;
1821000;"Powiat leski";32,4;32,0;31,8;29,1;28,7;28,5;
1821022;"Cisna (2)";1,8;1,8;1,8;1,4;1,4;1,4;
1821033;"Lesko (3)";2,9;2,9;2,9;0,0;0,0;0,0;
1821034;"Lesko - miasto (4)";1,8;1,8;1,8;0,0;0,0;0,0;
1821035;"Lesko - obszar wiejski (5)";1,1;1,1;1,1;0,0;0,0;0,0;
1821042;"Olszanica (2)";26,8;26,4;26,2;26,8;26,4;26,2;
1821052;"Solina (2)";0,9;0,9;0,9;0,9;0,9;0,9;
1861000;"Powiat m. Krosno";5,8;7,0;6,0;3,2;4,4;4,4;
1861011;"Krosno (1)";5,8;7,0;6,0;3,2;4,4;4,4;
1862000;"Powiat m. Przemyśl";20,7;19,6;20,0;0,4;0,8;0,8;
1862011;"Przemyśl (1)";20,7;19,6;20,0;0,4;0,8;0,8;
1863000;"Powiat m. Rzeszów";41,4;39,6;39,5;0,0;0,0;0,0;
1863011;"Rzeszów (1)";41,4;39,6;39,5;0,0;0,0;0,0;
1864000;"Powiat m. Tarnobrzeg";25,5;21,2;28,0;25,5;21,2;28,0;
1864011;"Tarnobrzeg (1)";25,5;21,2;28,0;25,5;21,2;28,0;
2000000;"PODLASKIE";685,8;664,7;658,8;485,5;474,2;475,1;
2001000;"Powiat augustowski";6,2;6,2;5,8;6,2;6,2;5,8;
2001011;"Augustów (1)";5,7;5,7;5,6;5,7;5,7;5,6;
2001043;"Lipsk (3)";0,3;0,3;0,0;0,3;0,3;0,0;
2001044;"Lipsk - miasto (4)";0,3;0,3;0,0;0,3;0,3;0,0;
2001072;"Sztabin (2)";0,2;0,2;0,2;0,2;0,2;0,2;
2002000;"Powiat białostocki";208,6;204,1;203,8;136,0;131,9;136,4;
2002013;"Choroszcz (3)";32,1;31,7;30,4;12,6;12,2;12,0;
2002014;"Choroszcz - miasto (4)";10,8;10,5;10,0;8,5;8,2;8,2;
2002015;"Choroszcz - obszar wiejski (5)";21,3;21,2;20,4;4,1;4,0;3,8;
2002023;"Czarna Białostocka (3)";7,3;7,3;7,3;7,3;7,3;7,3;
2002024;"Czarna Białostocka - miasto (4)";7,3;7,3;7,3;7,3;7,3;7,3;
2002032;"Dobrzyniewo Duże (2)";14,7;14,4;14,2;14,7;14,4;14,2;
2002042;"Gródek (2)";3,2;3,2;6,4;0,0;0,0;6,4;
2002052;"Juchnowiec Kościelny (2)";9,9;9,7;9,5;2,8;2,6;2,4;
2002063;"Łapy (3)";2,1;3,1;3,0;2,1;3,1;3,0;
2002064;"Łapy - miasto (4)";1,9;2,5;2,4;1,9;2,5;2,4;
2002065;"Łapy - obszar wiejski (5)";0,2;0,6;0,6;0,2;0,6;0,6;
2002073;"Michałowo (3)";1,0;1,0;1,0;1,0;1,0;1,0;
2002074;"Michałowo - miasto (4)";1,0;1,0;1,0;1,0;1,0;1,0;
2002082;"Poświętne (2)";4,1;4,1;4,1;4,1;4,1;4,1;
2002093;"Supraśl (3)";7,4;7,0;7,9;5,4;5,3;5,5;
2002094;"Supraśl - miasto (4)";1,9;2,3;2,3;1,9;2,3;2,3;
2002095;"Supraśl - obszar wiejski (5)";5,5;4,7;5,6;3,5;3,0;3,2;
2002103;"Suraż (3)";0,3;0,3;0,3;0,0;0,0;0,0;
2002104;"Suraż - miasto (4)";0,3;0,3;0,3;0,0;0,0;0,0;
2002112;"Turośń Kościelna (2)";11,9;11,2;11,1;11,6;10,9;10,8;
2002123;"Tykocin (3)";0,3;0,3;0,3;0,3;0,3;0,3;
2002124;"Tykocin - miasto (4)";0,3;0,3;0,3;0,3;0,3;0,3;
2002133;"Wasilków (3)";41,8;40,7;40,2;16,7;15,8;15,4;
2002134;"Wasilków - miasto (4)";39,1;38,1;38,0;14,0;13,2;13,2;
2002135;"Wasilków - obszar wiejski (5)";2,7;2,6;2,2;2,7;2,6;2,2;
2002143;"Zabłudów (3)";72,5;70,1;68,1;57,4;54,9;54,0;
2002144;"Zabłudów - miasto (4)";1,8;1,7;1,5;1,8;0,1;0,6;
2002145;"Zabłudów - obszar wiejski (5)";70,7;68,4;66,6;55,6;54,8;53,4;
2003000;"Powiat bielski";20,8;20,8;20,1;19,4;19,4;18,7;
2003011;"Bielsk Podlaski (1)";5,5;5,5;5,3;4,1;4,1;3,9;
2003021;"Brańsk (1)";0,9;0,9;0,9;0,9;0,9;0,9;
2003032;"Bielsk Podlaski (2)";7,2;7,2;7,2;7,2;7,2;7,2;
2003062;"Orla (2)";7,2;7,2;6,7;7,2;7,2;6,7;
2004000;"Powiat grajewski";40,3;37,8;37,9;32,5;30,0;30,1;
2004011;"Grajewo (1)";35,4;32,9;32,7;27,6;25,1;24,9;
2004022;"Grajewo (2)";4,1;4,1;4,1;4,1;4,1;4,1;
2004032;"Radziłów (2)";0,8;0,8;1,1;0,8;0,8;1,1;
2005000;"Powiat hajnowski";74,8;72,3;73,7;42,0;42,4;44,0;
2005011;"Hajnówka (1)";0,7;0,5;0,8;0,7;0,5;0,8;
2005032;"Czeremcha (2)";28,2;28,0;28,0;28,2;28,0;28,0;
2005052;"Dubicze Cerkiewne (2)";3,3;4,5;4,4;2,3;4,5;4,4;
2005062;"Hajnówka (2)";18,7;17,9;19,7;6,6;6,4;8,2;
2005073;"Kleszczele (3)";0,9;0,7;0,7;0,9;0,7;0,7;
2005074;"Kleszczele - miasto (4)";0,2;0,1;0,1;0,2;0,1;0,1;
2005075;"Kleszczele - obszar wiejski (5)";0,7;0,6;0,6;0,7;0,6;0,6;
2005082;"Narew (2)";20,8;19,5;19,3;1,1;1,1;1,1;
2005092;"Narewka (2)";2,2;1,2;0,8;2,2;1,2;0,8;
2006000;"Powiat kolneński";1,2;1,2;1,2;1,2;1,2;1,2;
2006053;"Stawiski (3)";1,2;1,2;1,2;1,2;1,2;1,2;
2006054;"Stawiski - miasto (4)";1,2;1,2;1,2;1,2;1,2;1,2;
2007000;"Powiat łomżyński";8,5;7,7;7,7;7,5;7,7;7,7;
2007013;"Jedwabne (3)";3,0;2,2;2,2;2,0;2,2;2,2;
2007014;"Jedwabne - miasto (4)";3,0;2,2;2,2;2,0;2,2;2,2;
2007032;"Miastkowo (2)";2,2;2,2;2,2;2,2;2,2;2,2;
