"Kod";"Nazwa";"jednorodzinne;2020;[ha]";"jednorodzinne;2021;[ha]";"jednorodzinne;2022;[ha]";"jednorodzinne - uzbrojone;2020;[ha]";"jednorodzinne - uzbrojone;2021;[ha]";"jednorodzinne - uzbrojone;2022;[ha]";
0605053;"Janów Lubelski (3)";1;1;1;1;1;1;
0605054;"Janów Lubelski - miasto (4)";1;1;1;1;1;1;
0605072;"Potok Wielki (2)";1;1;1;1;1;1;
0606000;"Powiat krasnostawski";16;16;19;12;12;12;
0606011;"Krasnystaw (1)";5;5;8;3;3;3;
0606032;"Gorzków (2)";2;2;2;2;2;2;
0606092;"Rudnik (2)";2;2;2;2;2;2;
0606102;"Siennica Różana (2)";5;5;5;5;5;5;
0606112;"Żółkiewka (2)";2;2;2;0;0;0;
0607000;"Powiat kraśnicki";6;5;5;2;2;2;
0607011;"Kraśnik (1)";3;3;3;1;1;1;
0607032;"Dzierzkowice (2)";1;1;1;1;0;0;
0607083;"Urzędów (3)";1;1;0;1;1;0;
0607092;"Wilkołaz (2)";1;1;1;0;0;0;
0608000;"Powiat lubartowski";33;32;32;22;21;21;
0608011;"Lubartów (1)";10;10;10;2;2;2;
0608032;"Firlej (2)";3;3;3;3;3;3;
0608042;"Jeziorzany (2)";1;1;1;1;1;1;
0608052;"Kamionka (2)";2;;;2;;;
0608053;"Kamionka (3)";;2;2;;2;2;
0608055;"Kamionka - obszar wiejski (5)";;2;2;;2;2;
0608072;"Lubartów (2)";7;7;7;4;4;4;
0608082;"Michów (2)";6;6;6;6;6;6;
0608103;"Ostrów Lubelski (3)";2;2;2;2;2;2;
0608104;"Ostrów Lubelski - miasto (4)";1;1;1;1;1;1;
0608105;"Ostrów Lubelski - obszar wiejski (5)";1;1;1;1;1;1;
0608112;"Ostrówek (2)";2;2;2;2;2;2;
0608132;"Uścimów (2)";1;0;0;1;0;0;
0609000;"Powiat lubelski";10;7;8;8;6;7;
0609013;"Bełżyce (3)";3;3;4;3;3;4;
0609014;"Bełżyce - miasto (4)";0;0;1;0;0;1;
0609015;"Bełżyce - obszar wiejski (5)";3;3;4;3;3;4;
0609042;"Garbów (2)";1;1;1;0;0;0;
0609052;"Głusk (2)";4;1;1;4;1;1;
0609112;"Niemce (2)";0;1;1;0;1;1;
0609142;"Wólka (2)";1;1;1;1;1;1;
0610000;"Powiat łęczyński";35;35;35;23;23;23;
0610012;"Cyców (2)";10;10;10;10;10;10;
0610022;"Ludwin (2)";1;1;1;1;1;1;
0610033;"Łęczna (3)";14;14;14;3;3;3;
0610034;"Łęczna - miasto (4)";10;10;10;0;0;0;
0610035;"Łęczna - obszar wiejski (5)";4;4;4;3;3;3;
0610042;"Milejów (2)";4;4;3;4;4;3;
0610052;"Puchaczów (2)";7;7;7;7;7;7;
0611000;"Powiat łukowski";17;16;16;14;13;12;
0611011;"Łuków (1)";4;3;3;2;2;1;
0611021;"Stoczek Łukowski (1)";3;3;3;3;3;3;
0611042;"Krzywda (2)";1;1;1;1;1;1;
0611052;"Łuków (2)";8;7;7;8;7;7;
0611072;"Stanin (2)";2;2;2;0;0;0;
0612000;"Powiat opolski";1;1;1;1;1;1;
0612053;"Opole Lubelskie (3)";1;1;1;1;1;1;
0612054;"Opole Lubelskie - miasto (4)";1;1;1;1;1;1;
0613000;"Powiat parczewski";35;34;33;32;31;31;
0613012;"Dębowa Kłoda (2)";6;6;5;3;3;3;
0613032;"Milanów (2)";6;6;6;6;6;6;
0613043;"Parczew (3)";7;7;7;7;7;7;
0613044;"Parczew - miasto (4)";7;7;7;7;7;7;
0613052;"Podedwórze (2)";5;5;5;5;5;5;
0613072;"Sosnowica (2)";12;11;11;12;11;11;
0614000;"Powiat puławski";21;21;21;15;15;15;
0614011;"Puławy (1)";3;3;3;2;2;2;
0614043;"Kazimierz Dolny (3)";8;8;8;8;8;8;
0614044;"Kazimierz Dolny - miasto (4)";5;5;5;5;5;5;
0614045;"Kazimierz Dolny - obszar wiejski (5)";3;3;3;3;3;3;
0614092;"Puławy (2)";9;9;9;5;5;5;
0615000;"Powiat radzyński";44;44;44;29;29;28;
0615052;"Komarówka Podlaska (2)";43;42;42;28;27;27;
0615082;"Wohyń (2)";1;1;1;1;1;1;
0616000;"Powiat rycki";19;19;16;7;9;7;
0616011;"Dęblin (1)";7;7;6;7;7;6;
0616043;"Ryki (3)";2;2;0;0;2;0;
0616045;"Ryki - obszar wiejski (5)";2;2;0;0;2;0;
0616062;"Ułęż (2)";10;10;10;0;0;0;
0617000;"Powiat świdnicki";4;3;3;0;0;1;
0617011;"Świdnik (1)";3;2;2;0;0;0;
0617052;"Trawniki (2)";1;1;1;0;0;1;
0618000;"Powiat tomaszowski";81;72;72;68;54;51;
0618011;"Tomaszów Lubelski (1)";4;4;4;4;4;4;
0618022;"Bełżec (2)";0;1;1;0;1;1;
0618032;"Jarczów (2)";9;9;8;9;9;8;
0618042;"Krynice (2)";2;2;2;2;2;2;
0618053;"Lubycza Królewska (3)";45;45;45;33;33;33;
0618054;"Lubycza Królewska - miasto (4)";5;5;5;5;5;5;
0618055;"Lubycza Królewska - obszar wiejski (5)";39;39;39;27;27;27;
0618063;"Łaszczów (3)";1;1;1;1;1;1;
0618064;"Łaszczów - miasto (4)";1;1;1;1;1;1;
0618082;"Susiec (2)";3;3;3;2;2;1;
0618092;"Tarnawatka (2)";11;6;7;11;2;2;
0618123;"Tyszowce (3)";7;2;2;7;2;0;
0618124;"Tyszowce - miasto (4)";7;2;2;7;2;0;
0619000;"Powiat włodawski";57;54;52;38;39;38;
0619011;"Włodawa (1)";9;7;6;5;7;5;
0619022;"Hanna (2)";6;6;6;5;5;5;
0619032;"Hańsk (2)";25;24;24;21;21;21;
0619042;"Stary Brus (2)";3;3;3;0;0;0;
0619052;"Urszulin (2)";2;1;2;0;0;0;
0619062;"Włodawa (2)";2;2;1;0;0;0;
0619072;"Wola Uhruska (2)";5;5;5;4;4;4;
0619082;"Wyryki (2)";6;6;6;3;3;3;
0620000;"Powiat zamojski";12;12;11;9;9;7;
0620012;"Adamów (2)";1;1;1;1;1;1;
0620032;"Komarów-Osada (2)";1;1;1;1;1;0;
0620043;"Krasnobród (3)";2;2;2;1;1;1;
0620044;"Krasnobród - miasto (4)";1;1;1;1;1;1;
0620045;"Krasnobród - obszar wiejski (5)";1;1;1;0;0;0;
0620062;"Miączyn (2)";1;1;1;0;0;0;
0620133;"Szczebrzeszyn (3)";2;2;2;2;2;2;
0620134;"Szczebrzeszyn - miasto (4)";2;2;2;2;2;2;
0620153;"Zwierzyniec (3)";4;4;4;3;3;3;
0620154;"Zwierzyniec - miasto (4)";3;3;3;3;3;3;
0620155;"Zwierzyniec - obszar wiejski (5)";1;1;1;0;0;0;
0661000;"Powiat m. Biała Podlaska";0;0;1;0;0;1;
0661011;"Biała Podlaska (1)";0;0;1;0;0;1;
0662000;"Powiat m. Chełm";18;18;17;10;12;11;
0662011;"Chełm (1)";18;18;17;10;12;11;
0663000;"Powiat m. Lublin";25;24;21;0;0;0;
0663011;"Lublin (1)";25;24;21;0;0;0;
0664000;"Powiat m. Zamość";1;1;1;1;1;1;
0664011;"Zamość (1)";1;1;1;1;1;1;
0800000;"LUBUSKIE";1534;1525;1505;771;748;709;
0801000;"Powiat gorzowski";109;107;105;84;79;78;
0801011;"Kostrzyn nad Odrą (1)";81;79;76;65;63;60;
0801022;"Bogdaniec (2)";2;1;1;2;1;1;
0801032;"Deszczno (2)";3;3;3;2;2;2;
0801042;"Kłodawa (2)";4;6;6;1;1;1;
0801062;"Santok (2)";13;13;13;13;13;13;
0801073;"Witnica (3)";6;6;6;1;1;1;
0801074;"Witnica - miasto (4)";3;3;3;1;1;1;
0801075;"Witnica - obszar wiejski (5)";3;3;3;0;0;0;
0802000;"Powiat krośnieński";289;286;280;187;187;185;
0802011;"Gubin (1)";174;172;169;116;117;117;
0802022;"Bobrowice (2)";5;5;5;5;5;5;
0802032;"Bytnica (2)";10;9;8;10;9;8;
0802042;"Dąbie (2)";2;2;2;2;2;2;
0802052;"Gubin (2)";47;47;46;26;26;26;
0802063;"Krosno Odrzańskie (3)";28;27;26;4;4;4;
0802064;"Krosno Odrzańskie - miasto (4)";17;17;17;3;3;3;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";10;10;9;1;1;1;
0802072;"Maszewo (2)";23;23;23;23;23;23;
0803000;"Powiat międzyrzecki";72;67;67;28;24;24;
0803012;"Bledzew (2)";7;7;7;0;0;0;
0803023;"Międzyrzecz (3)";28;27;27;6;5;5;
0803024;"Międzyrzecz - miasto (4)";28;27;21;6;5;5;
0803025;"Międzyrzecz - obszar wiejski (5)";0;0;6;0;0;0;
0803042;"Pszczew (2)";18;15;14;18;15;14;
0803053;"Skwierzyna (3)";19;17;19;4;4;5;
0803054;"Skwierzyna - miasto (4)";13;12;13;1;1;2;
0803055;"Skwierzyna - obszar wiejski (5)";6;5;6;4;3;3;
0804000;"Powiat nowosolski";81;80;77;56;51;47;
0804011;"Nowa Sól (1)";11;8;7;11;8;7;
0804023;"Bytom Odrzański (3)";9;9;9;0;1;1;
0804024;"Bytom Odrzański - miasto (4)";0;1;1;0;1;1;
0804025;"Bytom Odrzański - obszar wiejski (5)";8;8;8;0;0;0;
0804032;"Kolsko (2)";6;5;4;6;5;4;
0804043;"Kożuchów (3)";4;4;4;0;0;0;
0804044;"Kożuchów - miasto (4)";4;4;4;0;0;0;
0804052;"Nowa Sól (2)";2;2;2;1;1;1;
0804063;"Nowe Miasteczko (3)";6;5;5;0;0;0;
0804064;"Nowe Miasteczko - miasto (4)";4;3;3;0;0;0;
0804065;"Nowe Miasteczko - obszar wiejski (5)";2;2;2;0;0;0;
0804073;"Otyń (3)";42;47;45;37;36;34;
0804074;"Otyń - miasto (4)";6;6;5;4;3;2;
0804075;"Otyń - obszar wiejski (5)";36;41;40;34;33;32;
0804082;"Siedlisko (2)";1;0;0;0;0;0;
0805000;"Powiat słubicki";83;80;77;17;16;13;
0805013;"Cybinka (3)";4;3;4;4;3;2;
0805014;"Cybinka - miasto (4)";3;2;2;3;2;1;
0805015;"Cybinka - obszar wiejski (5)";1;1;2;1;1;1;
0805022;"Górzyca (2)";11;8;7;1;0;0;
0805033;"Ośno Lubuskie (3)";53;52;52;3;3;3;
0805034;"Ośno Lubuskie - miasto (4)";53;51;52;2;3;3;
0805035;"Ośno Lubuskie - obszar wiejski (5)";1;1;1;1;1;1;
0805043;"Rzepin (3)";10;12;9;6;6;6;
0805044;"Rzepin - miasto (4)";10;12;9;6;6;6;
0805053;"Słubice (3)";5;5;5;3;3;3;
0805054;"Słubice - miasto (4)";3;3;3;3;3;3;
0805055;"Słubice - obszar wiejski (5)";2;2;2;0;0;0;
0806000;"Powiat strzelecko-drezdenecki";31;30;30;14;14;14;
0806013;"Dobiegniew (3)";10;10;10;10;10;10;
0806014;"Dobiegniew - miasto (4)";4;4;4;4;4;4;
0806015;"Dobiegniew - obszar wiejski (5)";7;7;7;7;7;7;
0806023;"Drezdenko (3)";16;15;15;1;1;1;
0806024;"Drezdenko - miasto (4)";15;15;14;1;1;1;
0806025;"Drezdenko - obszar wiejski (5)";1;1;1;0;0;0;
0806032;"Stare Kurowo (2)";1;1;1;0;0;0;
0806043;"Strzelce Krajeńskie (3)";4;4;4;2;2;2;
0806044;"Strzelce Krajeńskie - miasto (4)";2;2;2;2;2;2;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";2;2;2;1;1;1;
0806052;"Zwierzyn (2)";1;1;1;0;0;0;
0807000;"Powiat sulęciński";26;23;30;6;7;6;
0807012;"Krzeszyce (2)";10;9;17;3;2;2;
0807023;"Lubniewice (3)";1;1;1;1;1;1;
0807024;"Lubniewice - miasto (4)";1;1;0;1;1;0;
0807025;"Lubniewice - obszar wiejski (5)";1;1;1;1;1;1;
0807032;"Słońsk (2)";10;10;9;0;0;0;
0807043;"Sulęcin (3)";4;2;1;0;2;1;
0807044;"Sulęcin - miasto (4)";4;2;1;0;2;1;
0807053;"Torzym (3)";2;2;2;2;2;2;
0807054;"Torzym - miasto (4)";2;2;2;2;2;2;
0808000;"Powiat świebodziński";18;34;31;8;6;5;
0808012;"Lubrza (2)";4;3;3;4;3;3;
0808022;"Łagów (2)";2;2;2;0;0;0;
0808032;"Skąpe (2)";2;18;16;1;0;0;
0808042;"Szczaniec (2)";0;1;1;0;0;0;
0808053;"Świebodzin (3)";10;10;10;2;2;2;
0808054;"Świebodzin - miasto (4)";10;9;9;2;2;2;
0808055;"Świebodzin - obszar wiejski (5)";0;1;0;0;0;0;
0808063;"Zbąszynek (3)";1;1;0;1;1;0;
0808064;"Zbąszynek - miasto (4)";1;0;0;1;0;0;
0809000;"Powiat zielonogórski";329;340;333;242;238;233;
0809013;"Babimost (3)";0;11;11;0;0;0;
0809014;"Babimost - miasto (4)";0;7;6;0;0;0;
0809015;"Babimost - obszar wiejski (5)";0;5;4;0;0;0;
0809022;"Bojadła (2)";1;1;0;0;1;0;
0809043;"Kargowa (3)";36;34;33;11;11;11;
0809044;"Kargowa - miasto (4)";24;24;23;5;5;5;
0809045;"Kargowa - obszar wiejski (5)";12;11;10;6;6;6;
0809053;"Nowogród Bobrzański (3)";23;23;22;3;2;2;
0809054;"Nowogród Bobrzański - miasto (4)";20;19;19;2;2;2;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";4;4;4;1;1;1;
0809063;"Sulechów (3)";84;82;79;84;82;79;
0809064;"Sulechów - miasto (4)";47;46;46;47;46;46;
0809065;"Sulechów - obszar wiejski (5)";38;36;33;38;36;33;
0809072;"Świdnica (2)";179;178;178;139;138;137;
0809082;"Trzebiechów (2)";4;3;3;4;3;3;
0809092;"Zabór (2)";2;7;7;0;0;0;
0810000;"Powiat żagański";60;56;51;31;33;17;
0810011;"Gozdnica (1)";12;11;11;12;11;0;
0810021;"Żagań (1)";9;8;5;2;5;2;
0810032;"Brzeźnica (2)";2;2;2;0;0;0;
0810043;"Iłowa (3)";12;11;10;12;11;10;
0810044;"Iłowa - miasto (4)";7;5;5;7;5;5;
0810045;"Iłowa - obszar wiejski (5)";5;5;5;5;5;5;
0810053;"Małomice (3)";5;5;5;1;1;1;
0810054;"Małomice - miasto (4)";5;5;5;1;1;1;
0810055;"Małomice - obszar wiejski (5)";0;0;1;0;0;0;
0810073;"Szprotawa (3)";8;7;7;0;0;0;
0810074;"Szprotawa - miasto (4)";2;2;2;0;0;0;
0810075;"Szprotawa - obszar wiejski (5)";6;5;5;0;0;0;
0810092;"Żagań (2)";14;13;12;6;6;4;
0811000;"Powiat żarski";191;186;185;83;79;68;
0811011;"Łęknica (1)";1;1;1;1;1;1;
0811021;"Żary (1)";132;131;130;60;60;60;
0811032;"Brody (2)";10;10;10;0;0;0;
0811043;"Jasień (3)";3;1;7;3;1;3;
0811044;"Jasień - miasto (4)";3;1;3;3;1;3;
0811045;"Jasień - obszar wiejski (5)";0;0;4;0;0;0;
0811052;"Lipinki Łużyckie (2)";10;10;2;0;0;0;
0811063;"Lubsko (3)";3;2;1;3;1;1;
0811064;"Lubsko - miasto (4)";2;1;0;2;1;0;
0811065;"Lubsko - obszar wiejski (5)";1;1;1;1;1;1;
0811072;"Przewóz (2)";17;16;16;0;0;0;
0811092;"Tuplice (2)";3;3;3;3;3;3;
0811102;"Żary (2)";13;13;16;13;13;0;
0812000;"Powiat wschowski";183;182;176;6;6;6;
0812013;"Sława (3)";6;5;4;0;0;0;
0812014;"Sława - miasto (4)";1;1;1;0;0;0;
0812015;"Sława - obszar wiejski (5)";5;4;3;0;0;0;
0812023;"Szlichtyngowa (3)";71;71;70;6;6;5;
0812025;"Szlichtyngowa - obszar wiejski (5)";70;70;70;6;6;5;
0812033;"Wschowa (3)";107;106;102;0;0;0;
0812034;"Wschowa - miasto (4)";79;78;75;0;0;0;
0812035;"Wschowa - obszar wiejski (5)";28;28;27;0;0;0;
0861000;"Powiat m. Gorzów Wielkopolski";21;14;16;2;1;6;
0861011;"Gorzów Wielkopolski (1)";21;14;16;2;1;6;
0862000;"Powiat m. Zielona Góra";41;42;48;9;9;9;
0862011;"Zielona Góra (1)";41;42;48;9;9;9;
1000000;"ŁÓDZKIE";1150;1130;1119;770;763;756;
1001000;"Powiat bełchatowski";75;71;67;66;61;58;
1001011;"Bełchatów (1)";3;2;2;1;1;1;
1001022;"Bełchatów (2)";2;2;2;2;2;2;
1001032;"Drużbice (2)";8;7;7;0;0;0;
1001042;"Kleszczów (2)";16;14;12;16;13;11;
1001083;"Zelów (3)";47;46;44;47;46;44;
1001084;"Zelów - miasto (4)";7;7;7;7;7;7;
1001085;"Zelów - obszar wiejski (5)";39;39;37;39;39;37;
1002000;"Powiat kutnowski";29;29;29;8;8;8;
1002011;"Kutno (1)";7;7;7;0;0;0;
1002043;"Krośniewice (3)";6;6;6;6;6;6;
1002044;"Krośniewice - miasto (4)";6;6;6;6;6;6;
1002062;"Kutno (2)";2;2;2;2;2;2;
1002082;"Nowe Ostrowy (2)";5;5;5;0;0;0;
1002092;"Oporów (2)";1;1;1;0;0;0;
1002113;"Żychlin (3)";9;9;9;0;0;0;
1002114;"Żychlin - miasto (4)";9;9;9;0;0;0;
1003000;"Powiat łaski";2;3;5;2;2;3;
1003023;"Łask (3)";2;1;3;1;1;3;
1003025;"Łask - obszar wiejski (5)";1;1;3;1;1;3;
1003042;"Widawa (2)";0;2;1;0;0;0;
1004000;"Powiat łęczycki";9;7;7;3;3;3;
1004011;"Łęczyca (1)";4;2;2;0;0;0;
1004042;"Grabów (2)";5;5;5;3;3;3;
1005000;"Powiat łowicki";10;9;8;6;5;4;
1005011;"Łowicz (1)";6;5;5;5;4;4;
1005042;"Domaniewice (2)";3;3;3;0;0;0;
1005082;"Łyszkowice (2)";1;0;0;1;0;0;
1006000;"Powiat łódzki wschodni";80;77;75;23;23;22;
1006022;"Andrespol (2)";18;18;17;15;15;14;
1006032;"Brójce (2)";1;0;0;1;0;0;
1006073;"Koluszki (3)";33;31;31;4;4;5;
1006074;"Koluszki - miasto (4)";10;8;7;0;0;0;
1006075;"Koluszki - obszar wiejski (5)";24;23;24;4;4;5;
1006082;"Nowosolna (2)";23;23;23;1;1;1;
1006103;"Rzgów (3)";3;3;3;1;1;1;
1006105;"Rzgów - obszar wiejski (5)";3;3;3;1;1;1;
1006113;"Tuszyn (3)";1;1;1;1;1;1;
1006115;"Tuszyn - obszar wiejski (5)";1;1;1;1;1;1;
1007000;"Powiat opoczyński";5;7;6;4;3;3;
1007032;"Mniszków (2)";0;3;2;0;0;0;
1007043;"Opoczno (3)";2;1;1;2;1;1;
1007044;"Opoczno - miasto (4)";2;1;1;2;1;1;
1007072;"Sławno (2)";2;2;2;2;2;2;
1008000;"Powiat pabianicki";16;15;16;13;13;8;
1008011;"Konstantynów Łódzki (1)";2;1;1;0;0;0;
1008021;"Pabianice (1)";1;1;1;0;1;1;
1008042;"Dobroń (2)";1;1;1;1;1;1;
1008052;"Ksawerów (2)";1;1;2;0;0;2;
1008062;"Lutomiersk (2)";8;7;;8;7;;
1008063;"Lutomiersk (3)";;;7;;;0;
1008064;"Lutomiersk - miasto (4)";;;1;;;0;
1008065;"Lutomiersk - obszar wiejski (5)";;;6;;;0;
1008072;"Pabianice (2)";3;4;4;3;4;4;
1009000;"Powiat pajęczański";18;18;19;13;13;15;
1009032;"Nowa Brzeźnica (2)";13;13;13;9;8;8;
1009043;"Pajęczno (3)";3;3;3;3;3;3;
1009044;"Pajęczno - miasto (4)";2;2;2;2;2;2;
1009062;"Siemkowice (2)";2;2;2;1;1;1;
1009082;"Sulmierzyce (2)";1;1;2;0;0;2;
1010000;"Powiat piotrkowski";41;39;41;17;16;18;
1010012;"Aleksandrów (2)";2;2;2;2;2;2;
1010022;"Czarnocin (2)";1;0;0;0;0;0;
1010032;"Gorzkowice (2)";5;5;5;0;0;0;
1010062;"Moszczenica (2)";1;1;1;1;1;1;
1010082;"Rozprza (2)";17;16;16;2;2;2;
1010093;"Sulejów (3)";11;11;13;8;8;10;
1010094;"Sulejów - miasto (4)";3;3;4;3;3;4;
1010095;"Sulejów - obszar wiejski (5)";8;7;9;5;4;6;
1010113;"Wolbórz (3)";4;4;4;4;4;4;
1010115;"Wolbórz - obszar wiejski (5)";4;4;4;4;4;4;
1011000;"Powiat poddębicki";3;3;2;1;1;1;
1011033;"Poddębice (3)";3;3;2;1;1;1;
1011034;"Poddębice - miasto (4)";1;1;1;1;1;1;
1011035;"Poddębice - obszar wiejski (5)";2;2;1;0;0;0;
1012000;"Powiat radomszczański";34;28;27;15;13;12;
1012011;"Radomsko (1)";11;5;5;2;1;1;
1012022;"Dobryszyce (2)";9;9;9;9;9;9;
1012053;"Kamieńsk (3)";5;5;5;0;0;0;
1012054;"Kamieńsk - miasto (4)";2;2;2;0;0;0;
1012055;"Kamieńsk - obszar wiejski (5)";2;2;2;0;0;0;
1012082;"Lgota Wielka (2)";3;3;3;1;1;1;
1012102;"Masłowice (2)";1;1;1;1;1;1;
1012113;"Przedbórz (3)";3;3;3;0;0;0;
1012114;"Przedbórz - miasto (4)";3;3;3;0;0;0;
1012115;"Przedbórz - obszar wiejski (5)";1;1;1;0;0;0;
1012142;"Żytno (2)";3;2;1;2;1;1;
1013000;"Powiat rawski";7;10;10;3;5;5;
1013011;"Rawa Mazowiecka (1)";4;4;4;0;0;0;
1013023;"Biała Rawska (3)";2;2;2;2;2;2;
1013025;"Biała Rawska - obszar wiejski (5)";2;2;2;2;2;2;
1013042;"Rawa Mazowiecka (2)";1;4;4;1;4;4;
1014000;"Powiat sieradzki";22;20;19;21;19;18;
1014011;"Sieradz (1)";3;3;3;3;3;3;
1014023;"Błaszki (3)";1;0;1;0;0;0;
1014025;"Błaszki - obszar wiejski (5)";1;0;1;0;0;0;
1014052;"Burzenin (2)";1;1;1;1;1;1;
1014082;"Sieradz (2)";1;1;1;1;1;1;
1014093;"Warta (3)";16;15;14;16;15;14;
1014094;"Warta - miasto (4)";1;1;1;1;1;1;
1014095;"Warta - obszar wiejski (5)";15;14;14;15;14;14;
1014113;"Złoczew (3)";1;0;0;0;0;0;
1014114;"Złoczew - miasto (4)";1;0;0;0;0;0;
1015000;"Powiat skierniewicki";16;13;11;7;7;6;
1015012;"Bolimów (2)";4;3;;0;1;;
1015013;"Bolimów (3)";;;2;;;0;
1015014;"Bolimów - miasto (4)";;;2;;;0;
1015022;"Głuchów (2)";1;1;1;0;0;0;
1015042;"Kowiesy (2)";1;0;0;1;0;0;
1015052;"Lipce Reymontowskie (2)";5;4;4;4;4;4;
1015062;"Maków (2)";4;3;3;0;0;0;
1015082;"Skierniewice (2)";2;2;2;2;2;2;
1016000;"Powiat tomaszowski";13;12;9;11;10;7;
1016011;"Tomaszów Mazowiecki (1)";1;1;1;1;1;1;
1016042;"Czerniewice (2)";1;1;1;0;0;0;
1016052;"Inowłódz (2)";1;1;0;1;1;0;
1016062;"Lubochnia (2)";3;3;3;3;3;3;
1016072;"Rokiciny (2)";2;1;1;0;0;0;
1016102;"Ujazd (2)";1;1;0;1;1;0;
1016112;"Żelechlinek (2)";5;5;4;5;5;4;
1017000;"Powiat wieluński";5;4;5;5;4;4;
1017062;"Ostrówek (2)";2;0;0;1;0;0;
1017082;"Skomlin (2)";0;0;1;0;0;0;
1017093;"Wieluń (3)";3;3;3;3;3;3;
1017094;"Wieluń - miasto (4)";2;1;1;2;1;1;
1017095;"Wieluń - obszar wiejski (5)";2;2;2;2;2;2;
1017102;"Wierzchlas (2)";0;1;1;0;0;1;
1018000;"Powiat wieruszowski";7;6;7;6;6;6;
1018012;"Bolesławiec (2)";1;0;0;1;0;0;
1018032;"Galewice (2)";1;1;1;1;1;1;
1018073;"Wieruszów (3)";5;5;5;5;4;4;
1018074;"Wieruszów - miasto (4)";4;3;3;3;3;3;
1018075;"Wieruszów - obszar wiejski (5)";2;2;2;2;2;2;
1019000;"Powiat zduńskowolski";26;24;21;12;11;10;
1019011;"Zduńska Wola (1)";18;18;16;12;11;10;
1019023;"Szadek (3)";1;1;1;0;0;0;
1019025;"Szadek - obszar wiejski (5)";1;1;1;0;0;0;
1019042;"Zduńska Wola (2)";6;5;4;0;0;0;
1020000;"Powiat zgierski";239;238;226;228;220;215;
1020011;"Głowno (1)";2;1;1;2;1;1;
1020021;"Ozorków (1)";10;10;10;1;1;1;
1020031;"Zgierz (1)";11;9;7;11;9;7;
1020043;"Aleksandrów Łódzki (3)";201;197;196;201;197;196;
1020044;"Aleksandrów Łódzki - miasto (4)";164;163;163;164;163;163;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";38;34;34;38;34;34;
1020052;"Głowno (2)";3;3;3;3;3;3;
1020062;"Ozorków (2)";3;2;2;3;2;2;
1020072;"Parzęczew (2)";2;9;3;2;2;1;
1020083;"Stryków (3)";3;2;2;2;1;1;
1020084;"Stryków - miasto (4)";2;1;1;1;0;0;
1020085;"Stryków - obszar wiejski (5)";1;1;1;1;1;1;
1020092;"Zgierz (2)";4;4;3;4;4;3;
1021000;"Powiat brzeziński";2;2;2;1;1;1;
1021011;"Brzeziny (1)";1;1;0;0;0;0;
1021022;"Brzeziny (2)";1;1;1;1;1;1;
1061000;"Powiat m. Łódź";484;490;502;305;316;326;
1061011;"Łódź (1)";484;490;502;305;316;326;
1062000;"Powiat m. Piotrków Trybunalski";8;6;6;3;3;3;
1062011;"Piotrków Trybunalski (1)";8;6;6;3;3;3;
1200000;"MAŁOPOLSKIE";3421;3403;3324;506;491;413;
1201000;"Powiat bocheński";60;59;58;42;41;41;
1201011;"Bochnia (1)";3;3;3;2;2;2;
1201022;"Bochnia (2)";4;4;3;4;4;3;
1201032;"Drwinia (2)";34;34;34;34;34;34;
1201042;"Lipnica Murowana (2)";11;11;11;0;0;0;
1201052;"Łapanów (2)";1;1;1;1;1;1;
1201063;"Nowy Wiśnicz (3)";7;7;6;1;1;1;
1201064;"Nowy Wiśnicz - miasto (4)";1;1;1;1;1;1;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";6;6;6;0;0;0;
1201092;"Żegocina (2)";1;1;1;0;0;0;
1202000;"Powiat brzeski";61;55;47;43;38;34;
1202012;"Borzęcin (2)";15;12;6;10;7;3;
1202023;"Brzesko (3)";26;23;22;23;21;22;
1202024;"Brzesko - miasto (4)";22;21;21;22;21;21;
1202025;"Brzesko - obszar wiejski (5)";4;3;1;1;0;1;
1202042;"Dębno (2)";10;10;8;10;10;8;
1202072;"Szczurowa (2)";11;11;11;0;0;0;
1203000;"Powiat chrzanowski";56;55;54;12;11;11;
1203013;"Alwernia (3)";22;22;22;3;3;3;
1203014;"Alwernia - miasto (4)";2;2;2;2;2;2;
1203015;"Alwernia - obszar wiejski (5)";20;20;20;1;1;1;
1203022;"Babice (2)";2;1;1;2;1;1;
1203033;"Chrzanów (3)";11;11;10;4;4;3;
1203034;"Chrzanów - miasto (4)";9;8;8;2;2;1;
1203035;"Chrzanów - obszar wiejski (5)";2;3;2;2;2;2;
1203043;"Libiąż (3)";6;6;6;2;2;2;
1203044;"Libiąż - miasto (4)";5;5;5;2;2;2;
1203053;"Trzebinia (3)";15;15;15;1;1;1;
1203054;"Trzebinia - miasto (4)";5;4;11;0;1;1;
1203055;"Trzebinia - obszar wiejski (5)";11;11;4;1;1;1;
1204000;"Powiat dąbrowski";6;6;6;4;4;3;
1204023;"Dąbrowa Tarnowska (3)";2;2;2;1;1;0;
1204024;"Dąbrowa Tarnowska - miasto (4)";1;1;1;1;1;0;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";1;1;1;0;0;0;
1204052;"Olesno (2)";1;1;1;1;1;1;
1204073;"Szczucin (3)";3;3;3;2;2;2;
1204074;"Szczucin - miasto (4)";3;3;3;2;2;2;
